CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.135170,0.400000,0.400000,0.295916,0.296164,0.296180,0.295864,0.295866,
0.067931,0.400000,0.400000,0.268395,0.268641,0.268657,0.268339,0.268345,
0.058943,0.400000,0.400000,0.273228,0.273477,0.273492,0.273165,0.273169,
0.119152,0.400000,0.400000,0.302243,0.302491,0.302508,0.302181,0.302175,
0.165209,0.400000,0.400000,0.315456,0.315704,0.315722,0.315400,0.315393,
0.132648,0.400000,0.400000,0.295079,0.295327,0.295344,0.295026,0.295029,
0.065431,0.400000,0.400000,0.267553,0.267800,0.267815,0.267497,0.267505,
0.056465,0.400000,0.400000,0.272399,0.272647,0.272663,0.272336,0.272340,
0.116664,0.400000,0.400000,0.301477,0.301726,0.301742,0.301414,0.301410,
0.162764,0.400000,0.400000,0.314680,0.314930,0.314948,0.314624,0.314617,
0.130280,0.400000,0.400000,0.294304,0.294552,0.294570,0.294252,0.294254,
0.063094,0.400000,0.400000,0.266789,0.267037,0.267052,0.266735,0.266741,
0.054133,0.400000,0.400000,0.271624,0.271873,0.271888,0.271561,0.271566,
0.114318,0.400000,0.400000,0.300692,0.300940,0.300956,0.300629,0.300624,
0.160450,0.400000,0.400000,0.313913,0.314162,0.314179,0.313856,0.313850,
0.128048,0.400000,0.400000,0.293570,0.293818,0.293836,0.293516,0.293519,
0.060870,0.400000,0.400000,0.266045,0.266292,0.266308,0.265989,0.265997,
0.051941,0.400000,0.400000,0.270880,0.271128,0.271144,0.270817,0.270821,
0.112126,0.400000,0.400000,0.299928,0.300177,0.300194,0.299867,0.299861,
0.158354,0.400000,0.400000,0.313227,0.313476,0.313494,0.313170,0.313164,
0.126016,0.400000,0.400000,0.292900,0.293147,0.293164,0.292846,0.292848,
0.058859,0.400000,0.400000,0.265373,0.265620,0.265635,0.265317,0.265325,
0.049933,0.400000,0.400000,0.270207,0.270456,0.270472,0.270145,0.270150,
0.110140,0.400000,0.400000,0.299305,0.299556,0.299572,0.299244,0.299239,
0.156417,0.400000,0.400000,0.312597,0.312847,0.312864,0.312541,0.312535,
0.124172,0.400000,0.400000,0.292296,0.292544,0.292561,0.292242,0.292246,
0.057036,0.400000,0.400000,0.264762,0.265010,0.265026,0.264706,0.264715,
0.048159,0.400000,0.400000,0.269606,0.269856,0.269871,0.269544,0.269549,
0.108398,0.400000,0.400000,0.298730,0.298980,0.298996,0.298668,0.298663,
0.154731,0.400000,0.400000,0.312049,0.312299,0.312316,0.311993,0.311987,
0.122530,0.400000,0.400000,0.291754,0.292002,0.292019,0.291701,0.291704,
0.055402,0.400000,0.400000,0.264215,0.264461,0.264478,0.264159,0.264167,
0.046564,0.400000,0.400000,0.269071,0.269319,0.269335,0.269008,0.269013,
0.106801,0.400000,0.400000,0.298203,0.298452,0.298468,0.298140,0.298135,
0.153181,0.400000,0.400000,0.311547,0.311797,0.311814,0.311489,0.311484,
0.121081,0.400000,0.400000,0.291286,0.291534,0.291551,0.291233,0.291235,
0.054102,0.400000,0.400000,0.263791,0.264038,0.264054,0.263735,0.263743,
0.045315,0.400000,0.400000,0.268650,0.268899,0.268914,0.268586,0.268591,
0.105580,0.400000,0.400000,0.297802,0.298053,0.298069,0.297740,0.297736,
0.152054,0.400000,0.400000,0.311187,0.311438,0.311454,0.311131,0.311125,
0.120017,0.400000,0.400000,0.290939,0.291187,0.291204,0.290885,0.290888,
0.052929,0.400000,0.400000,0.263389,0.263636,0.263651,0.263332,0.263341,
0.044125,0.400000,0.400000,0.268235,0.268484,0.268499,0.268171,0.268177,
0.104409,0.400000,0.400000,0.297413,0.297663,0.297679,0.297350,0.297346,
0.150978,0.400000,0.400000,0.310850,0.311099,0.311116,0.310792,0.310787,
0.118997,0.400000,0.400000,0.290608,0.290855,0.290872,0.290553,0.290556,
0.052022,0.400000,0.400000,0.263116,0.263363,0.263379,0.263060,0.263068,
0.043353,0.400000,0.400000,0.268003,0.268252,0.268267,0.267940,0.267945,
0.103645,0.400000,0.400000,0.297170,0.297419,0.297435,0.297107,0.297103,
0.150257,0.400000,0.400000,0.310626,0.310875,0.310893,0.310569,0.310564,
0.118336,0.400000,0.400000,0.290395,0.290642,0.290659,0.290341,0.290345,
0.051247,0.400000,0.400000,0.262823,0.263069,0.263086,0.262767,0.262775,
0.042477,0.400000,0.400000,0.267670,0.267918,0.267935,0.267607,0.267613,
0.102757,0.400000,0.400000,0.296864,0.297113,0.297130,0.296801,0.296798,
0.149425,0.400000,0.400000,0.310356,0.310604,0.310622,0.310299,0.310293,
0.117558,0.400000,0.400000,0.290142,0.290389,0.290406,0.290088,0.290090,
0.050521,0.400000,0.400000,0.262583,0.262829,0.262845,0.262527,0.262535,
0.041799,0.400000,0.400000,0.267441,0.267690,0.267705,0.267378,0.267384,
0.102095,0.400000,0.400000,0.296651,0.296901,0.296917,0.296589,0.296585,
0.148836,0.400000,0.400000,0.310172,0.310422,0.310440,0.310116,0.310110,
0.117044,0.400000,0.400000,0.289983,0.290231,0.290250,0.289930,0.289933,
0.049978,0.400000,0.400000,0.262407,0.262654,0.262671,0.262351,0.262359,
0.041215,0.400000,0.400000,0.267239,0.267487,0.267504,0.267176,0.267182,
0.101512,0.400000,0.400000,0.296457,0.296707,0.296724,0.296395,0.296392,
0.148337,0.400000,0.400000,0.310024,0.310274,0.310291,0.309967,0.309962,
0.116609,0.400000,0.400000,0.289844,0.290092,0.290108,0.289789,0.289793,
0.049521,0.400000,0.400000,0.262242,0.262489,0.262505,0.262186,0.262194,
0.040747,0.400000,0.400000,0.267060,0.267309,0.267325,0.266997,0.267003,
0.101026,0.400000,0.400000,0.296238,0.296488,0.296503,0.296176,0.296171,
0.147940,0.400000,0.400000,0.309892,0.310142,0.310158,0.309835,0.309829,
0.116292,0.400000,0.400000,0.289745,0.289992,0.290010,0.289691,0.289694,
0.049288,0.400000,0.400000,0.262152,0.262398,0.262415,0.262096,0.262104,
0.040512,0.400000,0.400000,0.266973,0.267222,0.267239,0.266911,0.266917,
0.100798,0.400000,0.400000,0.296224,0.296474,0.296490,0.296161,0.296159,
0.147785,0.400000,0.400000,0.309873,0.310124,0.310141,0.309816,0.309811,
0.116174,0.400000,0.400000,0.289712,0.289961,0.289978,0.289659,0.289663,
0.049006,0.400000,0.400000,0.262049,0.262295,0.262311,0.261992,0.262001,
0.040166,0.400000,0.400000,0.266847,0.267096,0.267111,0.266783,0.266789,
0.100464,0.400000,0.400000,0.296111,0.296361,0.296377,0.296048,0.296044,
0.147513,0.400000,0.400000,0.309787,0.310038,0.310056,0.309731,0.309726,
0.115965,0.400000,0.400000,0.289648,0.289897,0.289913,0.289595,0.289597,
0.048775,0.400000,0.400000,0.261964,0.262210,0.262226,0.261907,0.261915,
0.039893,0.400000,0.400000,0.266741,0.266990,0.267006,0.266678,0.266684,
0.100175,0.400000,0.400000,0.296009,0.296259,0.296275,0.295946,0.295943,
0.147294,0.400000,0.400000,0.309728,0.309977,0.309995,0.309670,0.309665,
